RT title,imdb_title,year,length,budget,rating,votes,rlow,rmed,rhigh,mpaa_kid,mpaa_adult,Action,Animation,Comedy,Drama,Documentary,Romance,Short,cast1,cast2,cast3
A Life Less Ordinary,Life Less Ordinary A,1997,103,12000000,6.4,8209,13.5,48.0,23.5,1,0,0,0,1,1,0,1,0,Ewan McGregor,Cameron Diaz,Holly Hunter
Life as a House,Life as a House,2001,127,18000000,7.5,7696,13.5,28.0,63.5,1,0,0,0,1,1,0,0,0,Kevin Kline,Kristin Scott Thomas,Hayden Christensen
The Life of David Gale,Life of David Gale The,2003,130,50000000,7.1,10580,13.5,48.0,53.5,1,0,0,0,0,1,0,0,0,Kevin Spacey,Kate Winslet,Laura Linney
Lifeforce,Lifeforce,1985,101,25000000,5.6,2071,13.5,48.0,23.5,1,0,0,0,0,0,0,0,0,Steve Railsback,Peter Firth,Frank Finlay
Light It Up,Light It Up,1999,99,13000000,5.7,856,13.5,48.0,33.5,1,0,0,0,0,1,0,0,0,Usher Raymond,Forest Whitaker,Rosario Dawson
Light Sleeper,Light Sleeper,1992,103,5000000,6.8,742,13.5,48.0,43.5,1,0,0,0,0,1,0,0,0,Willem Dafoe,Susan Sarandon,Dana Delany
Like Mike,Like Mike,2002,99,30000000,4.9,1484,23.5,58.0,13.5,1,0,0,0,1,0,0,0,0,Lil Bow Wow,Morris Chestnut,Jonathan Lipnicki
Lilo & Stitch,Lilo  Stitch,2002,86,80000000,7.3,10944,13.5,48.0,53.5,1,0,0,1,1,1,0,0,0,Chris Sanders (III),Daveigh Chase,Zoe Caldwell
Limbo,Limbo,1999,126,8300000,7.1,2063,13.5,38.0,53.5,1,0,0,0,0,1,0,0,0,Mary Elizabeth Mastrantonio,David Strathairn,Vanessa Martinez
The Limey,Limey The,1999,89,9000000,7.2,7732,13.5,48.0,43.5,1,0,0,0,0,1,0,0,0,Terence Stamp,Peter Fonda,Lesley Ann Warren
Lionheart,Lionheart,1990,105,2500000,5.1,2123,13.5,58.0,23.5,1,0,1,0,0,0,0,0,0,Jean-Claude Van Damme,Harrison Page,Deborah Rennard
Little Black Book,Little Black Book,2004,111,35000000,4.7,1894,33.5,48.0,13.5,1,0,0,0,1,1,0,1,0,Brittany Murphy,Holly Hunter,Kathy Bates
Little Nicky,Little Nicky,2000,90,80000000,4.9,9485,23.5,58.0,13.5,1,0,0,0,1,0,0,1,0,Adam Sandler,Patricia Arquette,Harvey Keitel
Little Odessa,Little Odessa,1994,98,2300000,6.5,1222,13.5,48.0,43.5,1,0,0,0,0,1,0,0,0,Tim Roth,Edward Furlong,Moira Kelly
Little Secrets,Little Secrets,2001,97,2500000,6.9,457,13.5,48.0,53.5,1,0,0,0,0,1,0,0,0,Evan Rachel Wood,Michael Angarano,David Gallagher
Little Shop of Horrors,Little Shop of Horrors,1986,94,30000000,6.4,8911,13.5,58.0,33.5,1,0,0,0,1,0,0,0,0,Rick Moranis,Ellen Greene,Vincent Gardenia
The Little Vampire,Little Vampire The,2000,91,22000000,5.6,601,13.5,58.0,23.5,1,0,0,0,1,0,0,0,0,Jonathan Lipnicki,Richard E. Grant,Jim Carter
Livers Ain't Cheap (The Real Thing),Livers Aint Cheap,1997,89,2500000,4.5,81,23.5,58.0,13.5,1,0,0,0,0,0,0,0,0,James Russo,Emily Lloyd,Gary Busey
The Living Daylights,Living Daylights The,1987,130,30000000,6.4,7495,13.5,58.0,23.5,1,0,1,0,0,0,0,0,0,Timothy Dalton,Maryam d'Abo,Jeroen Krabbe
Living Out Loud,Living Out Loud,1998,103,12000000,6.5,1774,13.5,48.0,43.5,1,0,0,0,1,1,0,1,0,Holly Hunter,Danny DeVito,Queen Latifah
The Lizzie McGuire Movie,Lizzie McGuire Movie The,2003,94,17000000,5,2541,23.5,48.0,33.5,1,0,0,0,1,0,0,0,0,Hilary Duff,Yani Gellman,Adam Lamberg
National Lampoon's Loaded Weapon 1,Loaded Weapon 1,1993,84,13000000,5.4,6485,13.5,58.0,23.5,1,0,1,0,1,0,0,0,0,Emilio Estevez,Samuel L. Jackson,Jon Lovitz
Lolita,Lolita,1997,137,58000000,6.8,5757,13.5,48.0,43.5,1,0,0,0,0,1,0,1,0,James Mason,Peter Sellers,Shelley Winters
Lone Star,Lone Star,1996,135,5000000,7.7,8518,13.5,28.0,73.5,1,0,0,0,0,1,0,0,0,Chris Cooper,Elizabeth Pena,Joe Morton
Lone Wolf McQuade,Lone Wolf McQuade,1983,105,5000000,5.4,721,13.5,48.0,33.5,1,0,1,0,0,1,0,0,0,Chuck Norris,David Carradine,Barbara Carrera
The Long Kiss Goodnight,Long Kiss Goodnight The,1996,120,65000000,6.5,12516,13.5,48.0,33.5,1,0,1,0,0,1,0,0,0,Geena Davis,Samuel L. Jackson,Patrick Malahide
The Long Riders,Long Riders The,1980,99,10000000,7,1190,13.5,48.0,53.5,1,0,0,0,0,0,0,0,0,David Carradine,Keith Carradine,Robert Carradine
Look Who's Talking,Look Whos Talking,1989,93,7500000,5.5,10847,13.5,68.0,13.5,1,0,0,0,1,0,0,1,0,John Travolta,Kirstie Alley,Olympia Dukakis
Lookin' to Get Out,Lookin to Get Out,1982,105,17000000,3.6,83,33.5,38.0,23.5,1,0,0,0,1,0,0,0,0,Jon Voight,Ann-Margret,Burt Young
Looney Tunes: Back in Action,Looney Tunes Back in Action,2003,91,80000000,6.1,2559,13.5,68.0,23.5,1,0,1,1,1,0,0,0,0,Brendan Fraser,Jenna Elfman,Steve Martin
The Lord of the Rings: The Fellowship of the Ring,Lord of the Rings The Fellowship of the Ring The,2001,208,93000000,8.8,157608,13.5,18.0,74.5,1,0,1,0,0,0,0,0,0,Elijah Wood,Ian McKellen,Ian Holm
The Lord of the Rings: The Return of the King,Lord of the Rings The Return of the King The,2003,251,94000000,9,103631,13.5,18.0,83.5,1,0,1,0,0,0,0,0,0,Elijah Wood,Ian McKellen,Viggo Mortensen
Lord Of The Rings: The Fellowship Of The Rings & Two Towers (Double Bill),Lord of the Rings The Two Towers The,2002,223,94000000,8.8,114797,13.5,18.0,83.5,1,0,1,0,0,0,0,0,0,Elijah Wood,Liv Tyler,Ian McKellen
Loser,Loser,2000,92,20000000,5.1,5152,13.5,68.0,13.5,1,0,0,0,1,0,0,1,0,Jason Biggs,Mena Suvari,Zak Orth
Losin' It,Losin It,1983,100,7000000,4.5,645,23.5,58.0,13.5,1,0,0,0,1,0,0,0,0,Tom Cruise,Jackie Earle Haley,John Stockwell
Losing Isaiah,Losing Isaiah,1995,111,17000000,6.1,794,13.5,68.0,23.5,1,0,0,0,0,1,0,0,0,Jessica Lange,Halle Berry,David Strathairn
The Loss of Sexual Innocence,Loss of Sexual Innocence The,1999,106,4000000,5.3,977,23.5,38.0,33.5,1,0,0,0,0,1,0,0,0,Julian Sands,Saffron Burrows,Stefano Dionisi
Lost Highway,Lost Highway,1997,135,15000000,7.3,15936,13.5,28.0,53.5,1,0,0,0,0,1,0,0,0,Bill Pullman,Patricia Arquette,Balthazar Getty
Lost Souls,Lost Souls,2000,97,28000000,4.6,3423,23.5,58.0,13.5,1,0,0,0,0,0,0,0,0,Winona Ryder,Ben Chaplin,Sarah Wynter
The Lost World - Jurassic Park,Lost World Jurassic Park The,1997,129,73000000,5.5,28055,13.5,68.0,13.5,1,0,1,0,0,0,0,0,0,Jeff Goldblum,Julianne Moore,Pete Postlethwaite
Lost in Space,Lost in Space,1998,130,80000000,4.7,15209,23.5,58.0,13.5,1,0,1,0,0,0,0,0,0,William Hurt,Mimi Rogers,Heather Graham
Lost In Translation,Lost in Translation,2003,102,4000000,8,42450,13.5,28.0,63.5,1,0,0,0,1,1,0,0,0,Bill Murray,Anna Faris,Scarlett Johansson
A Lot Like Love,Lot Like Love A,2005,107,30000000,4.6,786,33.5,38.0,23.5,1,0,0,0,1,1,0,1,0,Ashton Kutcher,Amanda Peet,Kathryn Hahn
Love and Basketball,Love  Basketball,2000,124,15000000,6.7,2093,13.5,48.0,53.5,1,0,0,0,0,1,0,1,0,Sanaa Lathan,Omar Epps,Alfre Woodard
The Love Letter,Love Letter The,1999,88,15000000,5.2,1258,13.5,68.0,13.5,1,0,0,0,1,1,0,0,0,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons
Love Liza,Love Liza,2002,90,1000000,6.6,1588,13.5,48.0,43.5,1,0,0,0,0,1,0,0,0,Philip Seymour Hoffman,Kathy Bates,Jack Kehler
Love Object,Love Object,2003,88,1000000,6.3,427,13.5,48.0,43.5,1,0,0,0,1,0,0,0,0,Desmond Harrington,Melissa Sagemiller,Udo Kier
Love Stinks,Love Stinks,1999,94,4000000,5.3,1311,13.5,48.0,33.5,1,0,0,0,1,0,0,0,0,French Stewart,Bridgette Wilson,Bill Bellamy
Love's Labour's Lost,Loves Labours Lost,2000,93,13000000,5.9,1254,13.5,48.0,33.5,1,0,0,0,1,0,0,1,0,Alessandro Nivola,Alicia Silverstone,Natascha McElhone
Lover Girl,Lover Girl,1997,87,1000000,5.3,102,13.5,68.0,23.5,1,0,0,0,1,1,0,0,0,Sandra Bernhard,Kristy Swanson,Tara Subkoff
Lucky 13,Lucky 13,2004,95,1200000,5.7,151,23.5,48.0,33.5,1,0,0,0,1,0,0,1,0,Harland Williams,Lauren Graham,Brad Hunt
Lucky Break,Lucky Break,2001,108,6000000,6.3,707,13.5,68.0,23.5,1,0,0,0,1,0,0,0,0,James Nesbitt,Olivia Williams,Timothy Spall
Lucky Numbers,Lucky Numbers,2000,105,65000000,5,2396,13.5,78.0,13.5,1,0,0,0,1,0,0,0,0,John Travolta,Lisa Kudrow,Tim Roth
Luminarias,Luminarias,2000,100,1000000,2.7,381,63.5,18.0,23.5,1,0,0,0,1,0,0,1,0,Evelina Fernandez,Scott Bakula,Marta Du Bois
Mondays in the Sun (Los Lunes al sol),Lunes al sol Los,2002,113,4000000,7.8,1466,13.5,28.0,63.5,1,0,0,0,0,1,0,0,0,Javier Bardem,Luis Tosar,Jose Angel Egido
Lurking Fear,Lurking Fear,1994,76,1000000,4.2,124,23.5,58.0,13.5,1,0,0,0,0,0,0,0,0,Jeffrey Combs,Jon Finch,Ashley Laurence
The End of a Mystery (La luz prodigiosa),Luz prodigiosa La,2003,108,2000000,7,44,0.0,23.5,63.5,1,0,0,0,0,1,0,0,0,Alfredo Landa,Nino Manfredi,Kiti Manver
M.D.C. - Maschera di cera (Gaston Leroux's The Wax Mask),MDC  Maschera di cera,1997,98,3000000,5.2,272,13.5,48.0,23.5,1,0,0,0,0,0,0,0,0,Gabriella Giorgelli,Robert Hossein,Gianni Franco
Machuca,Machuca,2004,121,1500000,8.4,449,13.5,18.0,83.5,1,0,0,0,0,1,0,0,0,Matias Quer,Ariel Mateluna,Manuela Martelli
Mad City,Mad City,1997,115,50000000,6,3965,13.5,68.0,23.5,1,0,0,0,0,1,0,0,0,John Travolta,Dustin Hoffman,Mia Kirshner
Mad Dogs,Mad Dogs,2002,91,1400000,3.1,11,29.0,19.0,23.5,1,0,0,0,0,0,0,0,0,Saeed Jaffrey,Campbell Morrison,Jonathan Pryce
Madadayo,Madadayo,1993,134,11900000,7.4,554,13.5,38.0,63.5,1,0,0,0,0,1,0,0,0,Tatsuo Matsumara,Kyoko Kagawa,Hisashi Igawa
Made,Made,2001,94,5000000,6.5,4487,13.5,48.0,23.5,1,0,0,0,1,1,0,0,0,Vince Vaughn,Jon Favreau,Sean 'P. Diddy' Combs
Madhouse,Madhouse,2004,91,3000000,5.4,389,13.5,48.0,23.5,1,0,0,0,0,0,0,0,0,Lance Henriksen,Natasha Lyonne,Jordan Ladd
Madonna - Truth or Dare,Madonna Truth or Dare,1991,114,4500000,5.5,2660,13.5,48.0,33.5,1,0,0,0,0,0,1,0,0,Madonna,Warren Beatty,Sandra Bernhard
The Magic Roundabout (Doogal),Magic Roundabout The,2005,85,20000000,5.7,142,13.5,48.0,33.5,1,0,0,1,0,0,0,0,0,Bill Nighy,Ian McKellen,Jim Broadbent
Magnolia,Magnolia,1999,188,37000000,8,45992,13.5,28.0,73.5,1,0,0,0,0,1,0,0,0,Jason Robards,Julianne Moore,Tom Cruise
Maid in Manhattan,Maid in Manhattan,2002,105,55000000,4.6,12237,23.5,58.0,13.5,1,0,0,0,1,0,0,1,0,Jennifer Lopez,Frances Conroy,Christopher Eigeman
The Majestic,Majestic The,2001,156,72000000,6.7,8649,13.5,48.0,33.5,1,0,0,0,0,1,0,1,0,Jim Carrey,Bob Balaban,Martin Landau
Major League,Major League,1989,107,11000000,6.7,8078,13.5,48.0,33.5,1,0,0,0,1,0,0,0,0,Tom Berenger,Charlie Sheen,Corbin Bernsen
Malcolm X,Malcolm X,1992,202,34000000,7.5,6873,13.5,28.0,63.5,1,0,0,0,0,1,0,0,0,Denzel Washington,Spike Lee,Angela Bassett
Malibu's Most Wanted,Malibus Most Wanted,2003,86,16000000,4.9,2099,23.5,58.0,13.5,1,0,0,0,1,0,0,0,0,Jamie Kennedy,Taye Diggs,Anthony Anderson
Mallrats,Mallrats,1995,94,6100000,7.1,22837,13.5,28.0,63.5,1,0,0,0,1,1,0,0,0,Shannen Doherty,Jeremy London,Jason Lee
Mama,Mama,1999,100,3000000,6,66,13.5,48.0,43.5,1,0,0,0,0,1,0,0,0,Jessica Chastain,Nikolaj Coster-Waldau,Megan Charpentier
La Semana del asesino (The Cannibal Man) (The Apartment on the 13th Floor) (Week of the Killer),Man Apart A,2003,110,36000000,5.4,4231,13.5,58.0,13.5,1,0,1,0,0,1,0,0,0,Emma Cohen,Vicente Parra,Eusebio Poncela
The Man Who Wasn't There,Man Who Wasnt There The,2001,118,20000000,7.7,17028,13.5,28.0,63.5,1,0,0,0,1,1,0,0,0,Billy Bob Thornton,Frances McDormand,Michael Badalucco
The Man from Elysian Fields,Man from Elysian Fields The,2001,106,6500000,6.8,1198,13.5,48.0,43.5,1,0,0,0,0,1,0,0,0,Andy Garcia,Mick Jagger,Julianna Margulies
The Man in the Iron Mask,Man in the Iron Mask The,1998,132,35000000,6,11127,13.5,58.0,23.5,1,0,1,0,0,1,0,0,0,Leonardo DiCaprio,Jeremy Irons,John Malkovich
Man of the House,Man of the House,2005,97,40000000,5.2,511,23.5,48.0,33.5,1,0,1,0,1,0,0,0,0,Tommy Lee Jones,Cedric the Entertainer,Christina Milian
Man on Fire,Man on Fire,2004,146,70000000,7.4,14358,13.5,38.0,53.5,1,0,1,0,0,1,0,0,0,Denzel Washington,Dakota Fanning,Christopher Walken
Man on the Moon,Man on the Moon,1999,118,52000000,7.3,19826,13.5,48.0,53.5,1,0,0,0,1,1,0,0,0,Jim Carrey,Danny DeVito,Courtney Love
Man to Man,Man to Man,2005,122,30000000,6,76,13.5,38.0,43.5,1,0,0,0,0,0,0,0,0,Joseph Fiennes,Kristin Scott Thomas,Iain Glen
Man's Best Friend,Mans Best Friend,1993,95,6000000,4.4,511,33.5,58.0,13.5,1,0,0,0,0,0,0,0,0,Ally Sheedy,Lance Henriksen,Fredric Lehne
Man-Thing,ManThing,2005,96,30000000,3.8,163,33.5,48.0,23.5,1,0,1,0,0,0,0,0,0,Robert Mammone,Jack Thompson,William Zappa
Manhattan Murder Mystery,Manhattan Murder Mystery,1993,104,13500000,7.3,5044,13.5,48.0,53.5,1,0,0,0,1,0,0,0,0,Woody Allen,Diane Keaton,Alan Alda
Manhunter,Manhunter,1986,124,15000000,7.2,7272,13.5,48.0,53.5,1,0,0,0,0,1,0,0,0,William L. Petersen,Kim Greist,Joan Allen
Maniac Cop,Maniac Cop,1988,85,1100000,5,709,13.5,68.0,13.5,1,0,1,0,0,0,0,0,0,Tom Atkins,Bruce Campbell,Laurene Landon
Maniac Cop 2,Maniac Cop 2,1990,90,4000000,4.4,360,13.5,68.0,13.5,1,0,1,0,0,0,0,0,0,Robert Davi,Claudia Christian,Michael Lerner
Mannequin 2: On the Move,Mannequin On the Move,1991,95,13000000,2.9,1235,53.5,28.0,23.5,1,0,0,0,1,0,0,1,0,William Ragsdale,Kristy Swanson,Meshach Taylor
Marci X,Marci X,2003,80,20000000,2.8,741,63.5,18.0,13.5,1,0,0,0,1,0,0,0,0,Lisa Kudrow,Damon Wayans,Richard Benjamin
Maria Chapdelaine,Maria Chapdelaine,1983,107,4600000,6.4,40,23.5,73.5,23.5,1,0,0,0,0,1,0,0,0,Madeleine Renaud,Suzanne Despres,Jean Gabin
Mars,Mars,1998,91,4500000,3.3,156,53.5,38.0,13.5,1,0,1,0,0,0,0,0,0,Mark Duplass,Zoe Simpson,Paul Gordon
Mars,Mars,2004,100,2000000,6.8,23,9.0,48.0,29.0,1,0,0,0,1,0,0,0,0,Mark Duplass,Zoe Simpson,Paul Gordon
Mars Attacks!,Mars Attacks,1996,106,70000000,6.1,27363,13.5,58.0,23.5,1,0,1,0,1,0,0,0,0,Jack Nicholson,Glenn Close,Annette Bening
Marvin's Room,Marvins Room,1996,98,23000000,6.5,4005,13.5,58.0,33.5,1,0,0,0,1,1,0,0,0,Meryl Streep,Leonardo DiCaprio,Diane Keaton
Mary Reilly,Mary Reilly,1996,108,47000000,5.5,2806,13.5,48.0,23.5,1,0,0,0,0,1,0,0,0,Julia Roberts,John Malkovich,Glenn Close
The Mask of Zorro,Mask of Zorro The,1998,136,65000000,6.8,18220,13.5,48.0,33.5,1,0,1,0,1,0,0,1,0,Antonio Banderas,Anthony Hopkins,Catherine Zeta-Jones
Behind the Mask: The Rise of Leslie Vernon,Mask The,1994,97,18000000,6.4,21533,13.5,68.0,23.5,1,0,1,0,1,0,0,0,0,Nathan Baesel,Angela Goethals,Robert Englund
Master and Commander: The Far Side of the World,Master and Commander The Far Side of the World,2003,138,150000000,7.5,21328,13.5,48.0,53.5,1,0,1,0,0,1,0,0,0,Russell Crowe,Paul Bettany,Billy Boyd
The Master of Disguise,Master of Disguise The,2002,80,16000000,2.9,3903,53.5,18.0,13.5,1,0,0,0,1,0,0,0,0,Dana Carvey,Jennifer Esposito,Harold Gould
Masters of the Universe,Masters of the Universe,1987,106,17000000,4.4,3288,23.5,58.0,23.5,1,0,1,0,1,0,0,0,0,Dolph Lundgren,Frank Langella,Meg Foster
Matewan,Matewan,1987,132,4000000,7.6,1877,13.5,28.0,73.5,1,0,0,0,0,1,0,0,0,Chris Cooper,Will Oldham,Mary McDonnell
Matilda,Matilda,1996,102,36000000,6.5,4351,13.5,48.0,33.5,1,0,0,0,1,1,0,0,0,Danny DeVito,Rhea Perlman,Mara Wilson
The Matrix Reloaded,Matrix Reloaded The,2003,138,127000000,7.1,57225,13.5,38.0,43.5,1,0,1,0,0,0,0,0,0,Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne
The Matrix Revolutions,Matrix Revolutions The,2003,125,110000000,6.3,40058,13.5,38.0,33.5,1,0,1,0,0,0,0,0,0,Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne
The Matrix,Matrix The,1999,136,63000000,8.5,143853,13.5,18.0,73.5,1,0,1,0,0,0,0,0,0,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
Maurice,Maurice,1987,140,2600000,7.3,2226,13.5,28.0,63.5,1,0,0,0,0,1,0,1,0,James Wilby,Hugh Grant,Rupert Graves
Max Keeble's Big Move,Max Keebles Big Move,2001,86,12000000,5.3,587,13.5,58.0,23.5,1,0,0,0,1,0,0,0,0,Alex D. Linz,Larry Miller,Jamie Kennedy
Maximum Overdrive,Maximum Overdrive,1986,97,10000000,4.3,3050,33.5,48.0,13.5,1,0,0,0,0,0,0,0,0,Emilio Estevez,Pat Hingle,Laura Harrington
May,May,2002,93,1700000,6.8,3324,13.5,38.0,53.5,1,0,0,0,0,1,0,0,0,Angela Bettis,Jeremy Sisto,Anna Faris
McHale's Navy,McHales Navy,1997,108,42000000,3.7,1758,43.5,38.0,13.5,1,0,0,0,1,0,0,0,0,Tom Arnold,Tim Curry,Dean Stockwell
"Me, Myself & Irene",Me Myself  Irene,2000,116,51000000,6,21305,13.5,68.0,23.5,1,0,0,0,1,0,0,0,0,Jim Carrey,Renee Zellweger,Chris Cooper
Mean Girls,Mean Girls,2004,97,17000000,7,11591,13.5,48.0,43.5,1,0,0,0,1,1,0,0,0,Lindsay Lohan,Rachel McAdams,Tina Fey
Monty Python's The Meaning of Life,Meaning of Life The,1983,112,9000000,7.3,12351,13.5,48.0,53.5,1,0,0,0,1,0,0,0,0,Graham Chapman,John Cleese,Terry Gilliam
The Lost Medallion: The AdventStoneures of Billy,Medallion The,2003,88,41000000,4.5,2765,23.5,58.0,13.5,1,0,1,0,1,0,0,0,0,Alex Kendrick,James Hong,Mark Dacascos
Medicine Man,Medicine Man,1992,106,40000000,5.7,4190,13.5,68.0,23.5,1,0,0,0,0,0,0,1,0,Sean Connery,Lorraine Bracco,Jose Wilker
Meet Joe Black,Meet Joe Black,1998,178,90000000,6.6,16796,13.5,48.0,43.5,1,0,0,0,0,1,0,1,0,Brad Pitt,Anthony Hopkins,Claire Forlani
Meet the Deedles,Meet the Deedles,1998,93,24000000,3.4,443,53.5,28.0,23.5,1,0,0,0,1,0,0,0,0,Steve Van Wormer,Paul Walker,AJ Langer
Meet The Fockers,Meet the Fockers,2004,115,80000000,6.5,11950,13.5,48.0,33.5,1,0,0,0,1,0,0,0,0,Robert De Niro,Ben Stiller,Dustin Hoffman
Meet the Hollowheads,Meet the Hollowheads,1989,86,4800000,5,70,13.5,28.0,53.5,1,0,0,0,1,0,0,0,0,John Glover,Nancy Mette,Richard Portnow
Meet the Parents,Meet the Parents,2000,108,55000000,7,30804,13.5,48.0,43.5,1,0,0,0,1,0,0,0,0,Robert De Niro,Ben Stiller,Blythe Danner
Megaforce,Megaforce,1982,99,20000000,2.7,562,63.5,18.0,23.5,1,0,1,0,0,0,0,0,0,Barry Bostwick,Persis Khambatta,Michael Beck
Megiddo: The Omega Code II,Megiddo The Omega Code 2,2001,104,22000000,3.8,729,33.5,18.0,33.5,1,0,0,0,0,0,0,0,0,Michael York,Michael Biehn,Diane Venora
Memento,Memento,2000,113,5000000,8.7,90317,13.5,18.0,73.5,1,0,0,0,0,1,0,0,0,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano
Memoirs of an Invisible Man,Memoirs of an Invisible Man,1992,99,40000000,5.6,3038,13.5,68.0,13.5,1,0,0,0,1,0,0,0,0,Chevy Chase,Daryl Hannah,Sam Neill
Men in Black III,Men in Black,1997,98,90000000,6.8,53231,13.5,48.0,33.5,1,0,1,0,1,0,0,0,0,Will Smith,Tommy Lee Jones,Josh Brolin
Men in Black II,Men in Black II,2002,88,140000000,5.6,21580,13.5,68.0,13.5,1,0,1,0,1,0,0,0,0,Tommy Lee Jones,Will Smith,Rip Torn
Men of Honor,Men of Honor,2000,129,32000000,6.6,9684,13.5,48.0,33.5,1,0,0,0,0,1,0,0,0,Robert De Niro,Cuba Gooding Jr.,Charlize Theron
Men of War,Men of War,1994,99,12000000,4.6,397,13.5,58.0,23.5,1,0,1,0,0,1,0,0,0,Dolph Lundgren,Charlotte Lewis,B.D. Wong
Men with Brooms,Men with Brooms,2002,102,7500000,5.9,1096,13.5,48.0,33.5,1,0,0,0,1,1,0,1,0,Paul Gross,Leslie Nielsen,Peter Outerbridge
Menace II Society,Menace II Society,1993,97,3500000,7.3,4704,13.5,38.0,53.5,1,0,1,0,0,1,0,0,0,Tyrin Turner,Jada Pinkett Smith,Vonte Sweet
William Shakespeare's The Merchant of Venice,Merchant of Venice The,2004,138,30000000,7.3,1400,13.5,28.0,63.5,1,0,0,0,1,1,0,0,0,Al Pacino,Jeremy Irons,Joseph Fiennes
Mercury Rising,Mercury Rising,1998,108,60000000,5.6,8202,13.5,68.0,13.5,1,0,1,0,0,1,0,0,0,Bruce Willis,Alec Baldwin,Miko Hughes
Mesmerized,Mesmerized,1986,94,5654930,4.7,147,23.5,48.0,23.5,1,0,0,0,0,1,0,0,0,Jodie Foster,John Lithgow,Michael Murphy
Message in a Bottle,Message in a Bottle,1999,126,30000000,5.4,5582,13.5,48.0,23.5,1,0,0,0,0,1,0,1,0,Kevin Costner,Robin Wright,Paul Newman
Metropolis (Metoroporisu),Metoroporisu,2001,107,14500000,7.3,3380,13.5,48.0,53.5,1,0,1,1,0,1,0,1,0,Keiji Kobayashi,Yuka Imoto,Kouki Okada
Metro,Metro,1997,117,55000000,5.2,3560,13.5,78.0,13.5,1,0,1,0,1,1,0,0,0,Eddie Murphy,Michael Rapaport,Michael Wincott
Michael Collins,Michael Collins,1996,133,25000000,6.8,5009,13.5,48.0,53.5,1,0,0,0,0,1,0,0,0,Liam Neeson,Aidan Quinn,Stephen Rea
Mickey,Mickey,2004,90,6000000,5.4,52,9.0,33.5,53.5,1,0,0,0,0,1,0,0,0,Harry Connick Jr.,Shawn Salinas,"Alexander ""Sandy"" Roos"
Mickey Blue Eyes,Mickey Blue Eyes,1999,102,40000000,5.8,7247,13.5,68.0,13.5,1,0,0,0,1,0,0,1,0,Hugh Grant,James Caan,Jeanne Tripplehorn
A Midnight Clear,Midnight Clear A,1992,107,5000000,7.5,2147,13.5,28.0,53.5,1,0,0,0,0,1,0,0,0,Peter Berg,Kevin Dillon,Arye Gross
Midnight Run,Midnight Run,1988,126,30000000,7.5,9196,13.5,38.0,53.5,1,0,1,0,1,0,0,0,0,Robert De Niro,Charles Grodin,Yaphet Kotto
Midnight in the Garden of Good and Evil,Midnight in the Garden of Good and Evil,1997,155,30000000,6.4,8517,13.5,48.0,23.5,1,0,0,0,0,1,0,0,0,Kevin Spacey,John Cusack,Jack Thompson
Mighty Aphrodite,Mighty Aphrodite,1995,95,15000000,7,7083,13.5,48.0,43.5,1,0,0,0,1,0,0,0,0,Woody Allen,Helena Bonham Carter,Mira Sorvino
Mighty Joe Young,Mighty Joe Young,1998,114,49000000,5.6,2873,13.5,68.0,23.5,1,0,0,0,0,0,0,0,0,Charlize Theron,Bill Paxton,Rade Serbedzija
Miller's Crossing,Millers Crossing,1990,115,14000000,8,14575,13.5,28.0,73.5,1,0,0,0,0,1,0,0,0,Gabriel Byrne,Albert Finney,Marcia Gay Harden
Million Dollar Baby,Million Dollar Baby,2004,132,30000000,8.3,20195,13.5,18.0,73.5,1,0,0,0,0,1,0,0,0,Clint Eastwood,Hilary Swank,Morgan Freeman
The Million Dollar Hotel,Million Dollar Hotel The,2000,122,8000000,5.5,4746,13.5,38.0,33.5,1,0,0,0,0,1,0,0,0,Jeremy Davies,Milla Jovovich,Mel Gibson
Mimic,Mimic,1997,105,25000000,5.6,6052,13.5,78.0,13.5,1,0,0,0,0,0,0,0,0,Mira Sorvino,Jeremy Northam,Josh Brolin
Mindhunters,Mindhunters,2004,102,27000000,6.3,3925,13.5,48.0,23.5,1,0,1,0,0,0,0,0,0,LL Cool J,Kathryn Morris,Patricia Velasquez
The Minion,Minion The,1998,95,12000000,3.2,338,53.5,38.0,13.5,1,0,1,0,0,0,0,0,0,Dolph Lundgren,Francoise Robertson,Roc LaFortune
Minority Report,Minority Report,2002,145,102000000,7.8,51199,13.5,28.0,63.5,1,0,1,0,0,1,0,0,0,Tom Cruise,Colin Farrell,Samantha Morton
Miracle Mile,Miracle Mile,1988,87,3000000,6.8,1086,13.5,28.0,53.5,1,0,0,0,0,1,0,1,0,Anthony Edwards,Mare Winningham,John Agar
The Mirror Has Two Faces,Mirror Has Two Faces The,1996,122,42000000,5.7,2775,13.5,48.0,33.5,1,0,0,0,1,1,0,1,0,Barbra Streisand,Jeff Bridges,Lauren Bacall
The Misadventures of Margaret,Misadventures of Margaret The,1998,80,5000000,5.4,217,13.5,58.0,33.5,1,0,0,0,1,0,0,1,0,Parker Posey,Jeremy Northam,Craig Chester
Misery,Misery,1990,107,20000000,7.5,13120,13.5,48.0,53.5,1,0,0,0,0,1,0,0,0,James Caan,Kathy Bates,Frances Sternhagen
