RT_title,mpaa_kid,mpaa_adult,cast1,cast2,cast3,imdb_title,year,length,budget,imdb_rating,imdb_votes,rlow,rmed,rhigh,Action,Animation,Comedy,Drama,Documentary,Romance,Short
Grey Knight (Ghost Brigade) (The Killing Box),1,0,David Arquette,Corbin Bernsen,Dean Cameron,Killing Box The,1993,80,1200000,4,127,33.5,48.0,23.5,0,0,0,0,0,0,0
Killing Me Softly,1,0,Heather Graham,Joseph Fiennes,Patrick Field,Killing Me Softly,2002,104,25000000,5.4,1771,13.5,68.0,13.5,0,0,0,1,0,0,0
Killing Zoe,1,0,Eric Stoltz,Julie Delpy,Jean-Hugues Anglade,Killing Zoe,1994,99,1500000,6.2,4834,13.5,48.0,23.5,0,0,0,0,0,0,0
Daddy Who? (Kimberly),1,0,Gabrielle Anwar,Sean Astin,Jason Lewis,Kimberly,1999,106,2000000,5.3,231,13.5,68.0,23.5,0,0,1,0,0,1,0
King Solomon's Mines,1,0,Richard Chamberlain,Sharon Stone,Herbert Lom,King Solomons Mines,1985,100,12500000,4.4,1662,33.5,48.0,13.5,1,0,1,0,0,0,0
The King of Comedy,1,0,Robert De Niro,Jerry Lewis,Diahnne Abbott,King of Comedy The,1983,109,20000000,7.5,6189,13.5,38.0,53.5,0,0,1,1,0,0,0
King of the Hill,1,0,Jesse Bradford,Jeroen Krabbe,Lisa Eichhorn,King of the Hill,1993,109,8000000,7.4,1233,13.5,28.0,63.5,0,0,0,1,0,0,0
King of the Mountain,1,0,Harry Hamlin,Joseph Bottoms,Deborah Van Valkenburgh,King of the Mountain,1981,90,2000000,4.1,49,9.0,48.0,33.5,0,0,0,1,0,0,0
Kingdom of Heaven,1,0,Orlando Bloom,Eva Green,Jeremy Irons,Kingdom of Heaven,2005,145,130000000,7,6498,13.5,28.0,63.5,1,0,0,1,0,0,0
Kingpin,1,0,Woody Harrelson,Randy Quaid,Vanessa Angel,Kingpin,1996,117,25000000,6.6,10643,13.5,48.0,23.5,0,0,1,0,0,0,0
Kinsey,1,0,Liam Neeson,Laura Linney,Chris O'Donnell,Kinsey,2004,118,11000000,7.6,3225,13.5,38.0,63.5,0,0,0,1,0,0,0
Kiss of the Dragon,1,0,Jet Li,Bridget Fonda,Tcheky Karyo,Kiss of the Dragon,2001,98,25000000,6.2,7887,13.5,68.0,23.5,1,0,0,1,0,0,0
Kiss or Kill,1,0,Frances O'Connor,Matt Day,Chris Haywood,Kiss or Kill,1997,96,2000000,6.2,590,13.5,48.0,33.5,0,0,0,0,0,0,0
Kiss The Girls,1,0,Morgan Freeman,Ashley Judd,Cary Elwes,Kiss the Girls,1997,111,27000000,6.4,9041,13.5,78.0,23.5,0,0,0,1,0,0,0
Kiss the Sky,1,0,Gary Cole,William L. Petersen,Terence Stamp,Kiss the Sky,1999,107,6000000,5.6,263,13.5,48.0,43.5,0,0,0,0,0,1,0
Kissing Jessica Stein,1,0,Jennifer Westfeldt,Heather Juergensen,Scott Cohen,Kissing Jessica Stein,2001,97,1000000,7,4236,13.5,48.0,53.5,0,0,1,0,0,1,0
A Knight's Tale,1,0,Heath Ledger,Mark Addy,Rufus Sewell,Knights Tale A,2001,132,41000000,6.5,15006,13.5,48.0,33.5,1,0,1,0,0,0,0
Knock Off,1,0,Jean-Claude Van Damme,Rob Schneider,Lela Rochon,Knock Off,1998,91,35000000,3.8,1947,53.5,38.0,13.5,1,0,0,0,0,0,0
Kruimeltje (Little Crumb),1,0,Ruud Feltkamp,Hugo Haenen,Eric van der Donk,Kruimeltje,1999,119,5000000,6.7,224,13.5,58.0,33.5,0,0,0,1,0,0,0
Krush Groove,1,0,Blair Underwood,Joseph Simmons,Sheila E.,Krush Groove,1985,97,3000000,5.5,253,23.5,48.0,43.5,0,0,0,1,0,0,0
Kundun,1,0,Tenzin Thuthob Tsarong,Gyurme Tethong,Tulku Jamyang Kunga Tenzin,Kundun,1997,128,28000000,7.1,4306,13.5,38.0,53.5,0,0,0,1,0,0,0
Kung Pow! Enter the Fist,1,0,Steve Oedekerk,Fei Lung,Leo Lee,Kung Pow Enter the Fist,2002,82,10000000,5.1,5871,23.5,28.0,43.5,1,0,1,0,0,0,0
L.A. Confidential,1,0,Kevin Spacey,Russell Crowe,Guy Pearce,LA Confidential,1997,138,35000000,8.4,69600,13.5,28.0,73.5,0,0,0,1,0,0,0
LD 50 Lethal Dose,1,0,Leo Bill,Philip Winchester,Stephen Lord,LD 50 Lethal Dose,2003,97,8000000,5,88,23.5,38.0,23.5,0,0,0,0,0,0,0
Labyrinth,1,0,David Bowie,Jennifer Connelly,Toby Froud,Labyrinth,1986,101,25000000,7,12661,13.5,38.0,53.5,0,0,0,0,0,0,0
Lady in White,1,0,Lukas Haas,Len Cariou,Alex Rocco,Lady in White,1988,112,4700000,6.7,656,13.5,48.0,53.5,0,0,0,0,0,0,0
Ladyhawke,1,0,Matthew Broderick,Rutger Hauer,Michelle Pfeiffer,Ladyhawke,1985,121,20000000,6.8,7090,13.5,48.0,53.5,0,0,0,0,0,1,0
The Ladykillers,1,0,Tom Hanks,Marlon Wayans,J.K. Simmons,Ladykillers The,2004,104,35000000,6.4,10580,13.5,68.0,23.5,0,0,1,0,0,0,0
The Lair of the White Worm,1,0,Amanda Donohoe,Hugh Grant,Catherine Oxenberg,Lair of the White Worm The,1988,93,2500000,5.4,1716,13.5,58.0,23.5,0,0,0,0,0,0,0
Lake Placid,1,0,Bill Pullman,Bridget Fonda,Brendan Gleeson,Lake Placid,1999,82,27000000,5.2,7836,13.5,58.0,13.5,1,0,1,0,0,0,0
The Land Before Time,1,0,Gabriel Damon,Candy Hutson,Judith Barsi,Land Before Time The,1988,70,12300000,6.4,3630,13.5,58.0,33.5,0,1,0,1,0,0,0
Lara Croft Tomb Raider - The Cradle of Life,1,0,Angelina Jolie,Gerard Butler,Ciaran Hinds,Lara Croft Tomb Raider The Cradle of Life,2003,117,90000000,5.2,9103,13.5,68.0,13.5,1,0,0,0,0,0,0
Lara Croft - Tomb Raider,1,0,Angelina Jolie,Jon Voight,Noah Taylor,Lara Croft Tomb Raider,2001,100,80000000,5.2,21861,13.5,68.0,13.5,1,0,0,0,0,0,0
Las Vegas Weekend,1,0,Barry Hickey,Jace Damon,Macka Foley,Las Vegas Weekend,1986,83,2000000,1.1,10,89.0,14.5,14.5,0,0,1,0,0,0,0
Last Action Hero,1,0,Arnold Schwarzenegger,Austin O'Brien,F Murray Abraham,Last Action Hero,1993,130,60000000,5.4,15266,13.5,58.0,23.5,1,0,1,0,0,0,0
The Last Castle,1,0,Robert Redford,James Gandolfini,Mark Ruffalo,Last Castle The,2001,131,60000000,6.4,7233,13.5,48.0,23.5,1,0,0,1,0,0,0
The Last Chase,1,0,Lee Majors,Burgess Meredith,Chris Makepeace,Last Chase The,1981,101,4900000,4.3,147,23.5,38.0,33.5,0,0,0,0,0,0,0
The Last Dragon,1,0,Taimak,Vanity,Christopher Murney,Last Dragon The,1985,109,10000000,5.6,1343,13.5,38.0,43.5,1,0,0,1,0,0,0
The Last Emperor,1,0,John Lone,Joan Chen,Peter O'Toole,Last Emperor The,1987,219,25000000,7.7,9507,13.5,28.0,53.5,0,0,0,1,0,0,0
The Last Horror Film (Fanatic) (Fanatical Extreme),1,0,Caroline Munro,Joe Spinell,Judd Hamilton,Last Horror Film The,1982,87,2000000,3.9,111,23.5,38.0,23.5,0,0,0,0,0,0,0
Last Man Standing,1,0,Bruce Willis,Bruce Dern,Christopher Walken,Last Man Standing,1996,101,67000000,5.7,6751,13.5,68.0,23.5,1,0,0,1,0,0,0
Last Orders,1,0,Michael Caine,Bob Hoskins,Tom Courtenay,Last Orders,2001,109,12000000,7.1,1583,13.5,48.0,43.5,0,0,0,1,0,0,0
The Party's Over (Last Party 2000),1,0,David Crosby,Robert Downey Jr.,Philip Seymour Hoffman,Last Party 2000,2001,90,1000000,6.3,205,23.5,28.0,43.5,0,0,0,0,1,0,0
The Last Warrior (The Last Patrol),1,0,Dolph Lundgren,Sherri Alexander,Joe Michael Burke,Last Patrol The,2000,95,8200000,2.9,236,53.5,18.0,23.5,1,0,0,1,0,0,0
The Last Samurai,1,0,Tom Cruise,Timothy Spall,Ken Watanabe,Last Samurai The,2003,154,100000000,7.9,31668,13.5,28.0,73.5,1,0,0,1,0,0,0
The Last Starfighter,1,0,Lance Guest,Robert Preston,Dan O'Herlihy,Last Starfighter The,1984,101,15000000,6.2,4890,13.5,68.0,23.5,1,0,1,0,0,0,0
The Last Temptation of Christ,1,0,Willem Dafoe,Harvey Keitel,Barbara Hershey,Last Temptation of Christ The,1988,164,7000000,7.5,8074,13.5,28.0,63.5,0,0,0,1,0,0,0
The Last of the Mohicans,1,0,Daniel Day-Lewis,Madeleine Stowe,Russell Means,Last of the Mohicans The,1992,117,40000000,7.5,15293,13.5,28.0,63.5,0,0,0,1,0,1,0
Lawn Dogs,1,0,Sam Rockwell,Christopher McDonald,Kathleen Quinlan,Lawn Dogs,1997,101,8000000,7.5,1856,13.5,28.0,73.5,0,0,0,1,0,0,0
The Lawnmower Man,1,0,Jeff Fahey,Pierce Brosnan,Jenny Wright,Lawnmower Man The,1992,140,10000000,5,5799,13.5,68.0,13.5,1,0,0,0,0,0,0
Laws of Attraction,1,0,Pierce Brosnan,Julianne Moore,Michael Sheen,Laws of Attraction,2004,90,28000000,5.7,2349,13.5,58.0,13.5,0,0,1,0,0,1,0
The League of Extraordinary Gentlemen,1,0,Sean Connery,Shane West,Stuart Townsend,League of Extraordinary Gentlemen The,2003,110,78000000,5.4,15647,13.5,58.0,13.5,1,0,0,0,0,0,0
A League of Their Own,1,0,Geena Davis,Tom Hanks,Lori Petty,League of Their Own A,1992,128,40000000,6.9,14318,13.5,48.0,53.5,0,0,1,1,0,0,0
The Learning Curve,1,0,Carmine Giovinazzo,Monet Mazur,Vincent Ventresca,Learning Curve The,2001,113,1000000,5.2,177,13.5,58.0,23.5,0,0,0,1,0,0,0
Leaving Las Vegas,1,0,Nicolas Cage,Elisabeth Shue,Julian Sands,Leaving Las Vegas,1995,111,4000000,7.5,18027,13.5,28.0,53.5,0,0,0,1,0,1,0
Legal Eagles,1,0,Robert Redford,Debra Winger,Daryl Hannah,Legal Eagles,1986,116,35000000,5.6,2132,13.5,68.0,13.5,0,0,1,0,0,1,0
Legally Blonde,1,0,Reese Witherspoon,Luke Wilson,Selma Blair,Legally Blonde,2001,96,18000000,6.4,17572,13.5,48.0,23.5,0,0,1,0,0,0,0
"Legally Blonde 2 - Red, White & Blonde",1,0,Reese Witherspoon,Sally Field,Regina King,Legally Blonde 2 Red White  Blonde,2003,95,45000000,4.4,6293,33.5,48.0,13.5,0,0,1,0,0,0,0
Legend,1,0,Tom Cruise,Mia Sara,Tim Curry,Legend,1985,89,25000000,6.1,7744,13.5,58.0,33.5,0,0,0,0,0,1,0
The Legend of Bagger Vance,1,0,Will Smith,Matt Damon,Charlize Theron,Legend of Bagger Vance The,2000,126,60000000,6.4,7123,13.5,58.0,23.5,0,0,1,1,0,1,0
The Legend of the Lone Ranger,1,0,Klinton Spilsbury,Michael Horse,Christopher Lloyd,Legend of the Lone Ranger The,1981,98,18000000,4.3,307,33.5,58.0,13.5,0,0,0,0,0,0,0
Legend of the Mummy (Bram Stoker's The Mummy),1,0,Louis Gossett Jr,Amy Locane,Richard Karn,Legend of the Mummy,1997,96,2000000,2.4,257,73.5,18.0,13.5,0,0,0,0,0,0,0
Legends of the Fall,1,0,Brad Pitt,Anthony Hopkins,Aidan Quinn,Legends of the Fall,1994,133,30000000,6.7,13327,13.5,38.0,53.5,0,0,0,1,0,1,0
The Legend of 1900 (La leggenda del pianista sull'oceano),1,0,Tim Roth,Pruitt Taylor Vince,Clarence Williams III,Leggenda del pianista sulloceano La,1998,120,9000000,7.6,3599,13.5,28.0,73.5,0,0,0,1,0,0,0
Legion of the Dead (Le6ion of the Dead),1,0,Matthias Hues,Harvey J. Alperin,Michael Carr,Legion of the Dead,2001,92,2700000,3.4,374,53.5,18.0,13.5,0,0,1,0,0,0,0
Legionnaire,1,0,Jean-Claude Van Damme,Adewale Akinnuoye-Agbaje,Steven Berkoff,Legionnaire,1998,98,35000000,4.5,1773,33.5,58.0,13.5,1,0,0,0,0,0,0
Lemony Snicket's A Series of Unfortunate Events,1,0,Jim Carrey,Liam Aiken,Emily Browning,Lemony Snickets A Series of Unfortunate Events,2004,108,125000000,6.7,8402,13.5,48.0,53.5,0,0,1,0,0,0,0
Leprechaun 2,1,0,Warwick Davis,Charlie Heath,Shevonne Durkin,Leprechaun 2,1994,86,2000000,3.6,648,43.5,38.0,13.5,0,0,1,0,0,0,0
Lethal Weapon,1,0,Mel Gibson,Danny Glover,Gary Busey,Lethal Weapon,1987,117,15000000,7.5,20041,13.5,48.0,53.5,1,0,1,0,0,0,0
Lethal Weapon 4,1,0,Mel Gibson,Danny Glover,Joe Pesci,Lethal Weapon 4,1998,127,140000000,6.3,17758,13.5,58.0,23.5,1,0,1,0,0,0,0
Levity,1,0,Billy Bob Thornton,Morgan Freeman,Holly Hunter,Levity,2003,100,7500000,6.4,1459,13.5,48.0,33.5,0,0,0,1,0,0,0
Lian ai zhong de Bao Bei (Baober in Love),1,0,Xun Zhou,Kun Chen,Jue Huang,Lian ai zhong de Bao Bei,2004,95,5000000,5.4,38,23.5,38.0,33.5,0,0,0,0,0,0,0
Liar Liar,1,0,Jim Carrey,Maura Tierney,Jennifer Tilly,Liar Liar,1997,86,45000000,6.5,22969,13.5,48.0,23.5,0,0,1,0,0,0,0
Liberty Stands Still,1,0,Wesley Snipes,Linda Fiorentino,Martin Cummins,Liberty Stands Still,2002,92,11000000,5.6,1560,13.5,68.0,13.5,0,0,0,1,0,0,0
Licence To Kill,1,0,Timothy Dalton,Carey Lowell,Robert Davi,Licence to Kill,1989,133,40000000,6.2,8523,13.5,68.0,23.5,1,0,0,0,0,0,0
License to Drive,1,0,Corey Haim,Corey Feldman,Carol Kane,License to Drive,1988,88,8000000,5.3,2163,13.5,58.0,33.5,0,0,1,0,0,0,0
Life,1,0,Eddie Murphy,Martin Lawrence,Obba Babatunde,Life,1999,108,75000000,5.8,4857,13.5,68.0,23.5,0,0,1,1,0,0,0
The Life Aquatic with Steve Zissou,1,0,Bill Murray,Owen Wilson,Cate Blanchett,Life Aquatic with Steve Zissou The,2004,118,25000000,7.3,9170,13.5,28.0,63.5,0,0,1,1,0,0,0
A Life Less Ordinary,1,0,Ewan McGregor,Cameron Diaz,Holly Hunter,Life Less Ordinary A,1997,103,12000000,6.4,8209,13.5,48.0,23.5,0,0,1,1,0,1,0
Life as a House,1,0,Kevin Kline,Kristin Scott Thomas,Hayden Christensen,Life as a House,2001,127,18000000,7.5,7696,13.5,28.0,63.5,0,0,1,1,0,0,0
The Life of David Gale,1,0,Kevin Spacey,Kate Winslet,Laura Linney,Life of David Gale The,2003,130,50000000,7.1,10580,13.5,48.0,53.5,0,0,0,1,0,0,0
Lifeforce,1,0,Steve Railsback,Peter Firth,Frank Finlay,Lifeforce,1985,101,25000000,5.6,2071,13.5,48.0,23.5,0,0,0,0,0,0,0
Light It Up,1,0,Usher Raymond,Forest Whitaker,Rosario Dawson,Light It Up,1999,99,13000000,5.7,856,13.5,48.0,33.5,0,0,0,1,0,0,0
Light Sleeper,1,0,Willem Dafoe,Susan Sarandon,Dana Delany,Light Sleeper,1992,103,5000000,6.8,742,13.5,48.0,43.5,0,0,0,1,0,0,0
Like Mike,1,0,Lil Bow Wow,Morris Chestnut,Jonathan Lipnicki,Like Mike,2002,99,30000000,4.9,1484,23.5,58.0,13.5,0,0,1,0,0,0,0
Lilo & Stitch,1,0,Chris Sanders (III),Daveigh Chase,Zoe Caldwell,Lilo  Stitch,2002,86,80000000,7.3,10944,13.5,48.0,53.5,0,1,1,1,0,0,0
Limbo,1,0,Mary Elizabeth Mastrantonio,David Strathairn,Vanessa Martinez,Limbo,1999,126,8300000,7.1,2063,13.5,38.0,53.5,0,0,0,1,0,0,0
The Limey,1,0,Terence Stamp,Peter Fonda,Lesley Ann Warren,Limey The,1999,89,9000000,7.2,7732,13.5,48.0,43.5,0,0,0,1,0,0,0
The Lion King,1,0,Matthew Broderick,Jeremy Irons,James Earl Jones,Lion King The,1994,89,79300000,7.8,32924,13.5,28.0,63.5,0,1,1,0,0,0,0
Lionheart,1,0,Jean-Claude Van Damme,Harrison Page,Deborah Rennard,Lionheart,1990,105,2500000,5.1,2123,13.5,58.0,23.5,1,0,0,0,0,0,0
Little Black Book,1,0,Brittany Murphy,Holly Hunter,Kathy Bates,Little Black Book,2004,111,35000000,4.7,1894,33.5,48.0,13.5,0,0,1,1,0,1,0
Little Nicky,1,0,Adam Sandler,Patricia Arquette,Harvey Keitel,Little Nicky,2000,90,80000000,4.9,9485,23.5,58.0,13.5,0,0,1,0,0,1,0
Little Odessa,1,0,Tim Roth,Edward Furlong,Moira Kelly,Little Odessa,1994,98,2300000,6.5,1222,13.5,48.0,43.5,0,0,0,1,0,0,0
Little Secrets,1,0,Evan Rachel Wood,Michael Angarano,David Gallagher,Little Secrets,2001,97,2500000,6.9,457,13.5,48.0,53.5,0,0,0,1,0,0,0
Little Shop of Horrors,1,0,Rick Moranis,Ellen Greene,Vincent Gardenia,Little Shop of Horrors,1986,94,30000000,6.4,8911,13.5,58.0,33.5,0,0,1,0,0,0,0
The Little Vampire,1,0,Jonathan Lipnicki,Richard E. Grant,Jim Carter,Little Vampire The,2000,91,22000000,5.6,601,13.5,58.0,23.5,0,0,1,0,0,0,0
Livers Ain't Cheap (The Real Thing),1,0,James Russo,Emily Lloyd,Gary Busey,Livers Aint Cheap,1997,89,2500000,4.5,81,23.5,58.0,13.5,0,0,0,0,0,0,0
The Living Daylights,1,0,Timothy Dalton,Maryam d'Abo,Jeroen Krabbe,Living Daylights The,1987,130,30000000,6.4,7495,13.5,58.0,23.5,1,0,0,0,0,0,0
Living Out Loud,1,0,Holly Hunter,Danny DeVito,Queen Latifah,Living Out Loud,1998,103,12000000,6.5,1774,13.5,48.0,43.5,0,0,1,1,0,1,0
The Lizzie McGuire Movie,1,0,Hilary Duff,Yani Gellman,Adam Lamberg,Lizzie McGuire Movie The,2003,94,17000000,5,2541,23.5,48.0,33.5,0,0,1,0,0,0,0
National Lampoon's Loaded Weapon 1,1,0,Emilio Estevez,Samuel L. Jackson,Jon Lovitz,Loaded Weapon 1,1993,84,13000000,5.4,6485,13.5,58.0,23.5,1,0,1,0,0,0,0
Lolita,1,0,Jeremy Irons,Melanie Griffith,Frank Langella,Lolita,1997,137,58000000,6.8,5757,13.5,48.0,43.5,0,0,0,1,0,1,0
Lone Star,1,0,Chris Cooper,Elizabeth Pena,Joe Morton,Lone Star,1996,135,5000000,7.7,8518,13.5,28.0,73.5,0,0,0,1,0,0,0
Lone Wolf McQuade,1,0,Chuck Norris,David Carradine,Barbara Carrera,Lone Wolf McQuade,1983,105,5000000,5.4,721,13.5,48.0,33.5,1,0,0,1,0,0,0
The Long Kiss Goodnight,1,0,Geena Davis,Samuel L. Jackson,Patrick Malahide,Long Kiss Goodnight The,1996,120,65000000,6.5,12516,13.5,48.0,33.5,1,0,0,1,0,0,0
The Long Riders,1,0,David Carradine,Keith Carradine,Robert Carradine,Long Riders The,1980,99,10000000,7,1190,13.5,48.0,53.5,0,0,0,0,0,0,0
Look Who's Talking,1,0,John Travolta,Kirstie Alley,Olympia Dukakis,Look Whos Talking,1989,93,7500000,5.5,10847,13.5,68.0,13.5,0,0,1,0,0,1,0
Lookin' to Get Out,1,0,Jon Voight,Ann-Margret,Burt Young,Lookin to Get Out,1982,105,17000000,3.6,83,33.5,38.0,23.5,0,0,1,0,0,0,0
Looney Tunes: Back in Action,1,0,Brendan Fraser,Jenna Elfman,Steve Martin,Looney Tunes Back in Action,2003,91,80000000,6.1,2559,13.5,68.0,23.5,1,1,1,0,0,0,0
The Lord of the Rings: The Fellowship of the Ring,1,0,Elijah Wood,Ian McKellen,Ian Holm,Lord of the Rings The Fellowship of the Ring The,2001,208,93000000,8.8,157608,13.5,18.0,74.5,1,0,0,0,0,0,0
The Lord of the Rings: The Return of the King,1,0,Elijah Wood,Ian McKellen,Viggo Mortensen,Lord of the Rings The Return of the King The,2003,251,94000000,9,103631,13.5,18.0,83.5,1,0,0,0,0,0,0
Lord Of The Rings: The Fellowship Of The Rings & Two Towers (Double Bill),1,0,Elijah Wood,Liv Tyler,Ian McKellen,Lord of the Rings The Two Towers The,2002,223,94000000,8.8,114797,13.5,18.0,83.5,1,0,0,0,0,0,0
Losin' It,1,0,Tom Cruise,Jackie Earle Haley,John Stockwell,Losin It,1983,100,7000000,4.5,645,23.5,58.0,13.5,0,0,1,0,0,0,0
Losing Isaiah,1,0,Jessica Lange,Halle Berry,David Strathairn,Losing Isaiah,1995,111,17000000,6.1,794,13.5,68.0,23.5,0,0,0,1,0,0,0
The Loss of Sexual Innocence,1,0,Julian Sands,Saffron Burrows,Stefano Dionisi,Loss of Sexual Innocence The,1999,106,4000000,5.3,977,23.5,38.0,33.5,0,0,0,1,0,0,0
Lost Highway,1,0,Bill Pullman,Patricia Arquette,Balthazar Getty,Lost Highway,1997,135,15000000,7.3,15936,13.5,28.0,53.5,0,0,0,1,0,0,0
Lost Souls,1,0,Winona Ryder,Ben Chaplin,Sarah Wynter,Lost Souls,2000,97,28000000,4.6,3423,23.5,58.0,13.5,0,0,0,0,0,0,0
The Lost World - Jurassic Park,1,0,Jeff Goldblum,Julianne Moore,Pete Postlethwaite,Lost World Jurassic Park The,1997,129,73000000,5.5,28055,13.5,68.0,13.5,1,0,0,0,0,0,0
Lost in Space,1,0,William Hurt,Mimi Rogers,Heather Graham,Lost in Space,1998,130,80000000,4.7,15209,23.5,58.0,13.5,1,0,0,0,0,0,0
Lost In Translation,1,0,Bill Murray,Anna Faris,Scarlett Johansson,Lost in Translation,2003,102,4000000,8,42450,13.5,28.0,63.5,0,0,1,1,0,0,0
A Lot Like Love,1,0,Ashton Kutcher,Amanda Peet,Kathryn Hahn,Lot Like Love A,2005,107,30000000,4.6,786,33.5,38.0,23.5,0,0,1,1,0,1,0
Love and Basketball,1,0,Sanaa Lathan,Omar Epps,Alfre Woodard,Love  Basketball,2000,124,15000000,6.7,2093,13.5,48.0,53.5,0,0,0,1,0,1,0
The Love Letter,1,0,Kate Capshaw,Blythe Danner,Tom Selleck,Love Letter The,1999,88,15000000,5.2,1258,13.5,68.0,13.5,0,0,1,1,0,0,0
Love Liza,1,0,Philip Seymour Hoffman,Kathy Bates,Jack Kehler,Love Liza,2002,90,1000000,6.6,1588,13.5,48.0,43.5,0,0,0,1,0,0,0
Love Object,1,0,Desmond Harrington,Melissa Sagemiller,Udo Kier,Love Object,2003,88,1000000,6.3,427,13.5,48.0,43.5,0,0,1,0,0,0,0
Love Stinks,1,0,French Stewart,Bridgette Wilson,Bill Bellamy,Love Stinks,1999,94,4000000,5.3,1311,13.5,48.0,33.5,0,0,1,0,0,0,0
Love's Labour's Lost,1,0,Alessandro Nivola,Alicia Silverstone,Natascha McElhone,Loves Labours Lost,2000,93,13000000,5.9,1254,13.5,48.0,33.5,0,0,1,0,0,1,0
Lover Girl,1,0,Sandra Bernhard,Kristy Swanson,Tara Subkoff,Lover Girl,1997,87,1000000,5.3,102,13.5,68.0,23.5,0,0,1,1,0,0,0
Lucky 13,1,0,Harland Williams,Lauren Graham,Brad Hunt,Lucky 13,2004,95,1200000,5.7,151,23.5,48.0,33.5,0,0,1,0,0,1,0
Lucky Break,1,0,James Nesbitt,Olivia Williams,Timothy Spall,Lucky Break,2001,108,6000000,6.3,707,13.5,68.0,23.5,0,0,1,0,0,0,0
Lucky Numbers,1,0,John Travolta,Lisa Kudrow,Tim Roth,Lucky Numbers,2000,105,65000000,5,2396,13.5,78.0,13.5,0,0,1,0,0,0,0
Luminarias,1,0,Evelina Fernandez,Scott Bakula,Marta Du Bois,Luminarias,2000,100,1000000,2.7,381,63.5,18.0,23.5,0,0,1,0,0,1,0
Mondays in the Sun (Los Lunes al sol),1,0,Javier Bardem,Luis Tosar,Jose Angel Egido,Lunes al sol Los,2002,113,4000000,7.8,1466,13.5,28.0,63.5,0,0,0,1,0,0,0
Lurking Fear,1,0,Jeffrey Combs,Jon Finch,Ashley Laurence,Lurking Fear,1994,76,1000000,4.2,124,23.5,58.0,13.5,0,0,0,0,0,0,0
The End of a Mystery (La luz prodigiosa),1,0,Alfredo Landa,Nino Manfredi,Kiti Manver,Luz prodigiosa La,2003,108,2000000,7,44,0.0,23.5,63.5,0,0,0,1,0,0,0
M.D.C. - Maschera di cera (Gaston Leroux's The Wax Mask),1,0,Gabriella Giorgelli,Robert Hossein,Gianni Franco,MDC  Maschera di cera,1997,98,3000000,5.2,272,13.5,48.0,23.5,0,0,0,0,0,0,0
Machuca,1,0,Matias Quer,Ariel Mateluna,Manuela Martelli,Machuca,2004,121,1500000,8.4,449,13.5,18.0,83.5,0,0,0,1,0,0,0
Mad City,1,0,John Travolta,Dustin Hoffman,Mia Kirshner,Mad City,1997,115,50000000,6,3965,13.5,68.0,23.5,0,0,0,1,0,0,0
Mad Dogs,1,0,Saeed Jaffrey,Campbell Morrison,Jonathan Pryce,Mad Dogs,2002,91,1400000,3.1,11,29.0,19.0,23.5,0,0,0,0,0,0,0
Madadayo,1,0,Tatsuo Matsumara,Kyoko Kagawa,Hisashi Igawa,Madadayo,1993,134,11900000,7.4,554,13.5,38.0,63.5,0,0,0,1,0,0,0
Madhouse,1,0,Lance Henriksen,Natasha Lyonne,Jordan Ladd,Madhouse,2004,91,3000000,5.4,389,13.5,48.0,23.5,0,0,0,0,0,0,0
Madonna - Truth or Dare,1,0,Madonna,Warren Beatty,Sandra Bernhard,Madonna Truth or Dare,1991,114,4500000,5.5,2660,13.5,48.0,33.5,0,0,0,0,1,0,0
The Magic Roundabout (Doogal),1,0,Bill Nighy,Ian McKellen,Jim Broadbent,Magic Roundabout The,2005,85,20000000,5.7,142,13.5,48.0,33.5,0,1,0,0,0,0,0
Magnolia,1,0,Jason Robards,Julianne Moore,Tom Cruise,Magnolia,1999,188,37000000,8,45992,13.5,28.0,73.5,0,0,0,1,0,0,0
Maid in Manhattan,1,0,Jennifer Lopez,Frances Conroy,Christopher Eigeman,Maid in Manhattan,2002,105,55000000,4.6,12237,23.5,58.0,13.5,0,0,1,0,0,1,0
The Majestic,1,0,Jim Carrey,Bob Balaban,Martin Landau,Majestic The,2001,156,72000000,6.7,8649,13.5,48.0,33.5,0,0,0,1,0,1,0
Major League,1,0,Tom Berenger,Charlie Sheen,Corbin Bernsen,Major League,1989,107,11000000,6.7,8078,13.5,48.0,33.5,0,0,1,0,0,0,0
Malcolm X,1,0,Denzel Washington,Spike Lee,Angela Bassett,Malcolm X,1992,202,34000000,7.5,6873,13.5,28.0,63.5,0,0,0,1,0,0,0
Malibu's Most Wanted,1,0,Jamie Kennedy,Taye Diggs,Anthony Anderson,Malibus Most Wanted,2003,86,16000000,4.9,2099,23.5,58.0,13.5,0,0,1,0,0,0,0
Mallrats,1,0,Shannen Doherty,Jeremy London,Jason Lee,Mallrats,1995,94,6100000,7.1,22837,13.5,28.0,63.5,0,0,1,1,0,0,0
Mama Flora's Family,1,0,Cicely Tyson,Queen Latifah,Blair Underwood,Mama,1999,100,3000000,6,66,13.5,48.0,43.5,0,0,0,1,0,0,0
The Man Who Wasn't There,1,0,Billy Bob Thornton,Frances McDormand,Michael Badalucco,Man Who Wasnt There The,2001,118,20000000,7.7,17028,13.5,28.0,63.5,0,0,1,1,0,0,0
The Man from Elysian Fields,1,0,Andy Garcia,Mick Jagger,Julianna Margulies,Man from Elysian Fields The,2001,106,6500000,6.8,1198,13.5,48.0,43.5,0,0,0,1,0,0,0
