RT_title,cast1,cast2,cast3,length,budget,imdb_rating,imdb_votes,rlow,rmed,rhigh,Action,Animation,Comedy,Drama,Documentary,Romance,RT_aud_score,RT_crit_score,RT_year,num_month,num_day,num_year,num_gross,mpaa_kid,mpaa_adult,Holiday,DayOfWeek
Jerry Maguire,Tom Cruise,Cuba Gooding Jr.,Renee Zellweger,139,50000000,7.3,34623,13.5,48.0,53.5,0,0,1,1,0,1,79,85,1996,12,13,1996,153952592,0,1,0,4
Jersey Girl,Ben Affleck,Liv Tyler,Jennifer Lopez,102,35000000,6.4,6853,13.5,48.0,33.5,0,0,1,1,0,0,49,41,2004,3,26,2004,25266129,1,0,0,4
Jesus' Son,Billy Crudup,Samantha Morton,Denis Leary,107,2500000,6.9,2291,13.5,38.0,53.5,0,0,0,1,0,0,83,81,1999,6,16,2000,1282084,0,1,0,4
Jimmy Neutron - Boy Genius,Megan Cavanagh,Mark De Carlo,Debi Derryberry,84,25000000,6.0,2280,13.5,68.0,23.5,0,1,1,0,0,0,50,75,2001,12,21,2001,80936232,1,0,0,4
The Jimmy Show,Frank Whaley,Carla Gugino,Ethan Hawke,99,1000000,4.6,145,23.5,38.0,23.5,0,0,1,1,0,0,31,40,2002,12,13,2002,703,0,1,0,4
Jingle All the Way,Arnold Schwarzenegger,Sinbad,Phil Hartman,88,60000000,4.7,6246,23.5,58.0,13.5,1,0,1,0,0,0,37,17,1996,11,22,1996,60592389,1,0,0,4
Joe Dirt,David Spade,Dennis Miller,Brittany Daniel,91,16000000,5.1,5514,13.5,48.0,13.5,0,0,1,0,0,1,64,11,2001,4,11,2001,27087695,1,0,0,2
Joe Somebody,Tim Allen,Julie Bowen,Kelly Lynch,98,38000000,5.5,1937,13.5,58.0,13.5,0,0,1,1,0,1,27,21,2001,12,21,2001,22770864,1,0,0,4
John Q,Denzel Washington,Robert Duvall,James Woods,116,36000000,6.4,8952,13.5,48.0,23.5,0,0,0,1,0,0,79,23,2001,2,15,2002,71026631,1,0,0,4
Johnny English,Rowan Atkinson,John Malkovich,Natalie Imbruglia,87,40000000,5.6,8125,13.5,68.0,13.5,1,0,1,0,0,0,51,33,2003,7,18,2003,28013509,1,0,0,4
Johnson Family Vacation,Cedric the Entertainer,Vanessa L. Williams,Solange Knowles,97,12000000,3.6,955,53.5,48.0,13.5,0,0,1,0,0,0,44,6,2004,4,7,2004,31203964,1,0,0,2
Jonah - A VeggieTales Movie,Phil Vischer,Mike Nawrocki,Tim Hodge,82,14500000,6.2,810,13.5,38.0,53.5,0,1,1,0,0,0,75,65,2002,10,4,2002,25571351,1,0,0,4
Josie and the Pussycats,Rachael Leigh Cook,Tara Reid,Rosario Dawson,98,22000000,5.2,4508,13.5,48.0,33.5,0,0,1,0,0,0,52,53,2001,4,11,2001,14252830,1,0,0,2
Joy Ride,Steve Zahn,Paul Walker,Leelee Sobieski,97,23000000,6.6,8132,13.5,48.0,23.5,0,0,0,0,0,0,65,73,2001,10,5,2001,21973182,0,1,0,4
Judge Dredd,Sylvester Stallone,Armand Assante,Diane Lane,96,87500000,4.6,9979,23.5,58.0,13.5,1,0,0,0,0,0,30,18,1995,6,30,1995,34687912,0,1,0,4
Jumanji,Robin Williams,Bonnie Hunt,Kirsten Dunst,104,65000000,6.0,14874,13.5,68.0,23.5,1,0,1,0,0,0,61,50,1995,12,15,1995,100458310,1,0,0,4
The Jungle Book 2,Haley Joel Osment,John Goodman,Mae Whitman,72,20000000,5.2,764,13.5,68.0,13.5,0,1,0,0,0,0,31,18,2003,2,14,2003,47901582,1,0,0,4
Jurassic Park,Sam Neill,Laura Dern,Jeff Goldblum,127,63000000,7.4,57473,13.5,48.0,53.5,1,0,0,0,0,0,90,93,1993,6,11,1993,395708305,1,0,1,4
Jurassic Park III,Sam Neill,William H. Macy,Tea Leoni,92,93000000,5.6,20690,13.5,68.0,13.5,1,0,0,0,0,0,36,49,2001,7,18,2001,181166115,1,0,0,2
The Juror,Demi Moore,Alec Baldwin,Joseph Gordon-Levitt,118,44000000,5.3,2920,13.5,78.0,13.5,0,0,0,1,0,0,32,15,1996,2,2,1996,22730924,0,1,0,4
Just Looking,Ryan Merriman,Joseph Franquinha,Peter Onorati,97,3000000,6.2,436,13.5,48.0,43.5,0,0,1,0,0,0,62,45,1999,10,13,2000,39852,0,1,0,4
Just Visiting,Jean Reno,Christina Applegate,Christian Clavier,93,40000000,5.6,2212,13.5,68.0,23.5,0,0,1,0,0,0,53,33,2001,4,6,2001,4777007,1,0,0,4
Juwanna Mann,Miguel A. Nunez Jr.,Vivica A. Fox,Kevin Pollak,91,15600000,3.9,885,33.5,38.0,13.5,0,0,1,0,0,0,39,10,2002,6,21,2002,13571817,1,0,0,4
K-19: The Widowmaker,Harrison Ford,Liam Neeson,Peter Sarsgaard,140,95000000,6.6,8292,13.5,68.0,23.5,0,0,0,1,0,0,53,60,2002,7,19,2002,35168966,1,0,0,4
K-PAX,Kevin Spacey,Jeff Bridges,Mary McCormack,120,48000000,7.2,17235,13.5,48.0,53.5,0,0,0,1,0,0,75,41,2001,10,26,2001,50315140,1,0,0,4
Kangaroo Jack,Jerry O'Connell,Anthony Anderson,Estella Warren,89,60000000,3.9,3661,33.5,28.0,13.5,0,0,1,0,0,0,27,8,2003,1,17,2003,66723216,1,0,0,4
Kansas City,Jennifer Jason Leigh,Miranda Richardson,Harry Belafonte,116,19000000,5.8,1077,13.5,58.0,23.5,0,0,0,1,0,0,44,63,1996,8,16,1996,1353824,0,1,0,4
Kate & Leopold,Meg Ryan,Hugh Jackman,Liev Schreiber,123,48000000,6.3,8060,13.5,68.0,23.5,0,0,1,0,0,1,63,50,2001,12,25,2001,47095453,1,0,1,1
Keeping the Faith,Edward Norton,Ben Stiller,Jenna Elfman,128,29500000,6.8,11351,13.5,48.0,43.5,0,0,1,1,0,1,60,69,2000,4,14,2000,37036404,1,0,0,4
Kids,Leo Fitzpatrick,Justin Pierce,Chloe Sevigny,91,1500000,6.6,9099,13.5,38.0,53.5,0,0,0,1,0,0,77,49,1995,7,21,1995,7412216,0,1,0,4
Kill Bill: Volume 1,Uma Thurman,Lucy Liu,Vivica A. Fox,111,55000000,8.3,65026,13.5,18.0,73.5,1,0,0,1,0,0,80,85,2003,10,10,2003,70098138,0,1,0,4
"Kill Bill, Volume 2",Uma Thurman,David Carradine,Michael Madsen,136,42500000,8.3,44189,13.5,18.0,73.5,1,0,0,1,0,0,89,84,2004,4,16,2004,66207920,0,1,0,4
Killing Zoe,Eric Stoltz,Julie Delpy,Jean-Hugues Anglade,99,1500000,6.2,4834,13.5,48.0,23.5,0,0,0,0,0,0,65,33,1994,8,31,1994,418953,0,1,0,2
Kingdom of Heaven,Orlando Bloom,Eva Green,Jeremy Irons,145,120000000,7.0,6498,13.5,28.0,63.5,1,0,0,1,0,0,73,39,2005,5,6,2005,47398413,0,1,0,4
Kingpin,Woody Harrelson,Randy Quaid,Vanessa Angel,117,25000000,6.6,10643,13.5,48.0,23.5,0,0,1,0,0,0,70,50,1996,7,26,1996,25023424,1,0,0,4
Kinsey,Liam Neeson,Laura Linney,Chris O'Donnell,118,11000000,7.6,3225,13.5,38.0,63.5,0,0,0,1,0,0,75,90,2004,11,12,2004,10214647,0,1,1,4
Kiss of the Dragon,Jet Li,Bridget Fonda,Tcheky Karyo,98,25000000,6.2,7887,13.5,68.0,23.5,1,0,0,1,0,0,69,51,2001,7,6,2001,36833473,0,1,1,4
Kiss The Girls,Morgan Freeman,Ashley Judd,Cary Elwes,111,27000000,6.4,9041,13.5,78.0,23.5,0,0,0,1,0,0,64,30,1997,10,3,1997,60527873,0,1,0,4
Kissing Jessica Stein,Jennifer Westfeldt,Heather Juergensen,Scott Cohen,97,1250000,7.0,4236,13.5,48.0,53.5,0,0,1,0,0,1,65,84,2002,3,13,2002,7025722,0,1,0,2
A Knight's Tale,Heath Ledger,Mark Addy,Rufus Sewell,132,41000000,6.5,15006,13.5,48.0,33.5,1,0,1,0,0,0,80,58,2001,5,11,2001,56083966,1,0,0,4
Knock Off,Jean-Claude Van Damme,Rob Schneider,Lela Rochon,91,35000000,3.8,1947,53.5,38.0,13.5,1,0,0,0,0,0,25,8,1998,9,4,1998,10319915,0,1,0,4
Kundun,Tenzin Thuthob Tsarong,Gyurme Tethong,Tulku Jamyang Kunga Tenzin,128,28000000,7.1,4306,13.5,38.0,53.5,0,0,0,1,0,0,79,76,1997,12,25,1997,5686694,1,0,1,3
Kung Pow! Enter the Fist,Steve Oedekerk,Fei Lung,Leo Lee,82,10000000,5.1,5871,23.5,28.0,43.5,1,0,1,0,0,0,68,11,2002,1,25,2002,16033556,1,0,0,4
L.A. Confidential,Kevin Spacey,Russell Crowe,Guy Pearce,138,35000000,8.4,69600,13.5,28.0,73.5,0,0,0,1,0,0,94,99,1997,9,19,1997,64604977,0,1,0,4
Lady in White,Lukas Haas,Len Cariou,Alex Rocco,112,4700000,6.7,656,13.5,48.0,53.5,0,0,0,0,0,0,68,67,1988,4,22,1988,1705139,1,0,0,4
Ladyhawke,Matthew Broderick,Rutger Hauer,Michelle Pfeiffer,121,20000000,6.8,7090,13.5,48.0,53.5,0,0,0,0,0,1,74,67,1985,4,12,1985,18400000,1,0,0,4
The Ladykillers,Tom Hanks,Marlon Wayans,J.K. Simmons,104,35000000,6.4,10580,13.5,68.0,23.5,0,0,1,0,0,0,43,55,2004,3,26,2004,39692139,0,1,0,4
Lake Placid,Bill Pullman,Bridget Fonda,Brendan Gleeson,82,27000000,5.2,7836,13.5,58.0,13.5,1,0,1,0,0,0,36,39,1999,7,16,1999,31770413,0,1,0,4
The Land Before Time,Gabriel Damon,Candy Hutson,Judith Barsi,70,12300000,6.4,3630,13.5,58.0,33.5,0,1,0,1,0,0,78,74,1988,11,18,1988,48092846,1,0,0,4
Lara Croft Tomb Raider - The Cradle of Life,Angelina Jolie,Gerard Butler,Ciaran Hinds,117,90000000,5.2,9103,13.5,68.0,13.5,1,0,0,0,0,0,45,24,2003,7,25,2003,65653758,1,0,0,4
Lara Croft - Tomb Raider,Angelina Jolie,Jon Voight,Noah Taylor,100,87000000,5.2,21861,13.5,68.0,13.5,1,0,0,0,0,0,48,19,2001,6,15,2001,131144183,1,0,1,4
The Last Castle,Robert Redford,James Gandolfini,Mark Ruffalo,131,60000000,6.4,7233,13.5,48.0,23.5,1,0,0,1,0,0,75,52,2001,10,19,2001,18208078,0,1,0,4
The Last Emperor,John Lone,Joan Chen,Peter O'Toole,219,25000000,7.7,9507,13.5,28.0,53.5,0,0,0,1,0,0,89,91,1987,11,20,1987,43984000,1,0,0,4
Last Man Standing,Bruce Willis,Bruce Dern,Christopher Walken,101,67000000,5.7,6751,13.5,68.0,23.5,1,0,0,1,0,0,53,37,1996,9,20,1996,18115927,0,1,0,4
Last Orders,Michael Caine,Bob Hoskins,Tom Courtenay,109,12000000,7.1,1583,13.5,48.0,43.5,0,0,0,1,0,0,72,79,2001,2,15,2002,2326407,0,1,0,4
The Last Samurai,Tom Cruise,Timothy Spall,Ken Watanabe,154,120000000,7.9,31668,13.5,28.0,73.5,1,0,0,1,0,0,83,65,2003,12,5,2003,111110575,0,1,0,4
The Last Temptation of Christ,Willem Dafoe,Harvey Keitel,Barbara Hershey,164,7000000,7.5,8074,13.5,28.0,63.5,0,0,0,1,0,0,85,83,1988,8,12,1988,8373585,0,1,0,4
The Last of the Mohicans,Daniel Day-Lewis,Madeleine Stowe,Russell Means,117,40000000,7.5,15293,13.5,28.0,63.5,0,0,0,1,0,1,88,94,1992,9,25,1992,75505856,0,1,0,4
The Lawnmower Man,Jeff Fahey,Pierce Brosnan,Jenny Wright,140,10000000,5.0,5799,13.5,68.0,13.5,1,0,0,0,0,0,32,45,1992,3,6,1992,32100816,0,1,0,4
Laws of Attraction,Pierce Brosnan,Julianne Moore,Michael Sheen,90,30000000,5.7,2349,13.5,58.0,13.5,0,0,1,0,0,1,47,17,2004,4,30,2004,17848322,1,0,0,4
The League of Extraordinary Gentlemen,Sean Connery,Shane West,Stuart Townsend,110,78000000,5.4,15647,13.5,58.0,13.5,1,0,0,0,0,0,44,17,2003,7,11,2003,66465204,1,0,0,4
A League of Their Own,Geena Davis,Tom Hanks,Lori Petty,128,40000000,6.9,14318,13.5,48.0,53.5,0,0,1,1,0,0,84,77,1992,7,1,1992,107533925,1,0,0,2
Leaving Las Vegas,Nicolas Cage,Elisabeth Shue,Julian Sands,111,4000000,7.5,18027,13.5,28.0,53.5,0,0,0,1,0,1,86,90,1995,10,27,1995,31983777,0,1,0,4
Legal Eagles,Robert Redford,Debra Winger,Daryl Hannah,116,37500000,5.6,2132,13.5,68.0,13.5,0,0,1,0,0,1,32,47,1986,6,18,1986,49851591,1,0,0,2
Legally Blonde,Reese Witherspoon,Luke Wilson,Selma Blair,96,18000000,6.4,17572,13.5,48.0,23.5,0,0,1,0,0,0,72,68,2001,7,13,2001,96493426,1,0,0,4
"Legally Blonde 2 - Red, White & Blonde",Reese Witherspoon,Sally Field,Regina King,95,35000000,4.4,6293,33.5,48.0,13.5,0,0,1,0,0,0,44,38,2003,7,2,2003,90639088,1,0,1,2
Legend,Tom Cruise,Mia Sara,Tim Curry,89,25000000,6.1,7744,13.5,58.0,33.5,0,0,0,0,0,1,74,48,1986,4,18,1986,15502112,1,0,0,4
The Legend of Bagger Vance,Will Smith,Matt Damon,Charlize Theron,126,60000000,6.4,7123,13.5,58.0,23.5,0,0,1,1,0,1,66,43,2000,11,3,2000,30695227,1,0,0,4
Legends of the Fall,Brad Pitt,Anthony Hopkins,Aidan Quinn,133,30000000,6.7,13327,13.5,38.0,53.5,0,0,0,1,0,1,88,62,1994,12,23,1994,66502573,0,1,1,4
Lemony Snicket's A Series of Unfortunate Events,Jim Carrey,Liam Aiken,Emily Browning,108,112500000,6.7,8402,13.5,48.0,53.5,0,0,1,0,0,0,63,72,2004,12,17,2004,118627117,1,0,0,4
Lethal Weapon,Mel Gibson,Danny Glover,Gary Busey,117,15000000,7.5,20041,13.5,48.0,53.5,1,0,1,0,0,0,85,84,1987,3,6,1987,65192350,0,1,0,4
Lethal Weapon 4,Mel Gibson,Danny Glover,Joe Pesci,127,140000000,6.3,17758,13.5,58.0,23.5,1,0,1,0,0,0,65,52,1998,7,10,1998,130444603,0,1,0,4
Liar Liar,Jim Carrey,Maura Tierney,Jennifer Tilly,86,45000000,6.5,22969,13.5,48.0,23.5,0,0,1,0,0,0,75,81,1997,3,21,1997,181410615,1,0,0,4
Life,Eddie Murphy,Martin Lawrence,Obba Babatunde,108,75000000,5.8,4857,13.5,68.0,23.5,0,0,1,1,0,0,78,50,1999,4,16,1999,64062587,0,1,0,4
The Life Aquatic with Steve Zissou,Bill Murray,Owen Wilson,Cate Blanchett,118,37500000,7.3,9170,13.5,28.0,63.5,0,0,1,1,0,0,83,53,2004,12,10,2004,24006726,0,1,0,4
Life as a House,Kevin Kline,Kristin Scott Thomas,Hayden Christensen,127,18000000,7.5,7696,13.5,28.0,63.5,0,0,1,1,0,0,89,47,2001,10,26,2001,15652637,0,1,0,4
The Life of David Gale,Kevin Spacey,Kate Winslet,Laura Linney,130,50000000,7.1,10580,13.5,48.0,53.5,0,0,0,1,0,0,82,19,2003,2,21,2003,19694635,0,1,0,4
Lifeforce,Steve Railsback,Peter Firth,Frank Finlay,101,25000000,5.6,2071,13.5,48.0,23.5,0,0,0,0,0,0,46,67,1985,6,21,1985,11603545,0,1,0,4
Light It Up,Usher Raymond,Forest Whitaker,Rosario Dawson,99,13000000,5.7,856,13.5,48.0,33.5,0,0,0,1,0,0,77,38,1999,11,10,1999,5871603,0,1,1,2
Light Sleeper,Willem Dafoe,Susan Sarandon,Dana Delany,103,5000000,6.8,742,13.5,48.0,43.5,0,0,0,1,0,0,64,90,1992,9,21,1992,1050861,0,1,0,0
Like Mike,Lil Bow Wow,Morris Chestnut,Jonathan Lipnicki,99,30000000,4.9,1484,23.5,58.0,13.5,0,0,1,0,0,0,52,57,2002,7,3,2002,51432423,1,0,1,2
Lilo & Stitch,Chris Sanders (III),Daveigh Chase,Zoe Caldwell,86,80000000,7.3,10944,13.5,48.0,53.5,0,1,1,1,0,0,76,86,2002,6,21,2002,145771527,1,0,0,4
The Limey,Terence Stamp,Peter Fonda,Lesley Ann Warren,89,9500000,7.2,7732,13.5,48.0,43.5,0,0,0,1,0,0,79,93,1999,10,8,1999,3193102,0,1,0,4
The Lion King,Matthew Broderick,Jeremy Irons,James Earl Jones,89,79300000,7.8,32924,13.5,28.0,63.5,0,1,1,0,0,0,93,90,1994,6,15,1994,422780140,1,0,0,2
Little Black Book,Brittany Murphy,Holly Hunter,Kathy Bates,111,32500000,4.7,1894,33.5,48.0,13.5,0,0,1,1,0,1,38,21,2004,8,6,2004,20422207,1,0,0,4
Little Nicky,Adam Sandler,Patricia Arquette,Harvey Keitel,90,80000000,4.9,9485,23.5,58.0,13.5,0,0,1,0,0,1,57,22,2000,11,10,2000,39442871,1,0,1,4
Little Shop of Horrors,Rick Moranis,Ellen Greene,Vincent Gardenia,94,30000000,6.4,8911,13.5,58.0,33.5,0,0,1,0,0,0,79,90,1986,12,19,1986,38747385,1,0,0,4
The Living Daylights,Timothy Dalton,Maryam d'Abo,Jeroen Krabbe,130,35000000,6.4,7495,13.5,58.0,23.5,1,0,0,0,0,0,65,75,1987,7,31,1987,51185000,1,0,0,4
Living Out Loud,Holly Hunter,Danny DeVito,Queen Latifah,103,12000000,6.5,1774,13.5,48.0,43.5,0,0,1,1,0,1,64,59,1998,10,30,1998,12905901,0,1,0,4
The Lizzie McGuire Movie,Hilary Duff,Yani Gellman,Adam Lamberg,94,16000000,5.0,2541,23.5,48.0,33.5,0,0,1,0,0,0,49,40,2003,5,2,2003,42734455,1,0,0,4
National Lampoon's Loaded Weapon 1,Emilio Estevez,Samuel L. Jackson,Jon Lovitz,84,13000000,5.4,6485,13.5,58.0,23.5,1,0,1,0,0,0,51,13,1993,2,5,1993,27979399,1,0,0,4
Lolita,Jeremy Irons,Melanie Griffith,Frank Langella,137,56500000,6.8,5757,13.5,48.0,43.5,0,0,0,1,0,1,76,67,1997,7,22,1998,1147784,0,1,0,2
Lone Star,Chris Cooper,Elizabeth Pena,Joe Morton,135,5000000,7.7,8518,13.5,28.0,73.5,0,0,0,1,0,0,85,93,1996,6,21,1996,12961389,0,1,0,4
The Long Kiss Goodnight,Geena Davis,Samuel L. Jackson,Patrick Malahide,120,65000000,6.5,12516,13.5,48.0,33.5,1,0,0,1,0,0,71,67,1996,10,11,1996,33447612,0,1,0,4
The Long Riders,David Carradine,Keith Carradine,Robert Carradine,99,10000000,7.0,1190,13.5,48.0,53.5,0,0,0,0,0,0,73,78,1980,5,16,1980,15198912,0,1,0,4
Looney Tunes: Back in Action,Brendan Fraser,Jenna Elfman,Steve Martin,91,80000000,6.1,2559,13.5,68.0,23.5,1,1,1,0,0,0,50,56,2003,11,14,2003,20950820,1,0,0,4
The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,Ian McKellen,Ian Holm,208,101000000,8.8,157608,13.5,18.0,74.5,1,0,0,0,0,0,95,91,2001,12,19,2001,315544750,1,0,0,2
The Lord of the Rings: The Return of the King,Elijah Wood,Ian McKellen,Viggo Mortensen,251,94000000,9.0,103631,13.5,18.0,83.5,1,0,0,0,0,0,86,94,2003,12,17,2003,377845905,1,0,0,2
The Lord of the Rings: The Return of the King,Elijah Wood,Ian McKellen,Viggo Mortensen,251,54500000,9.0,103631,13.5,18.0,83.5,1,0,0,0,0,0,86,94,2003,2,6,2004,501752,1,0,0,4
Losin' It,Tom Cruise,Jackie Earle Haley,John Stockwell,100,7000000,4.5,645,23.5,58.0,13.5,0,0,1,0,0,0,32,22,1982,4,8,1983,1246141,0,1,0,4
The Loss of Sexual Innocence,Julian Sands,Saffron Burrows,Stefano Dionisi,106,4000000,5.3,977,23.5,38.0,33.5,0,0,0,1,0,0,61,47,1999,5,28,1999,399793,0,1,0,4
Lost Souls,Winona Ryder,Ben Chaplin,Sarah Wynter,97,28000000,4.6,3423,23.5,58.0,13.5,0,0,0,0,0,0,22,7,2000,10,13,2000,16779636,0,1,0,4
The Lost World - Jurassic Park,Jeff Goldblum,Julianne Moore,Pete Postlethwaite,129,74000000,5.5,28055,13.5,68.0,13.5,1,0,0,0,0,0,51,52,1997,5,22,1997,229086679,1,0,0,3
Lost in Space,William Hurt,Mimi Rogers,Heather Graham,130,80000000,4.7,15209,23.5,58.0,13.5,1,0,0,0,0,0,24,29,1998,4,3,1998,69117629,1,0,0,4
Lost In Translation,Bill Murray,Anna Faris,Scarlett Johansson,102,4000000,8.0,42450,13.5,28.0,63.5,0,0,1,1,0,0,86,95,2003,9,12,2003,44585453,0,1,0,4
A Lot Like Love,Ashton Kutcher,Amanda Peet,Kathryn Hahn,107,27500000,4.6,786,33.5,38.0,23.5,0,0,1,1,0,1,78,41,2005,4,22,2005,21835784,1,0,0,4
Love and Basketball,Sanaa Lathan,Omar Epps,Alfre Woodard,124,15000000,6.7,2093,13.5,48.0,53.5,0,0,0,1,0,1,95,82,2000,4,21,2000,27441122,1,0,0,4
Love Stinks,French Stewart,Bridgette Wilson,Bill Bellamy,94,4000000,5.3,1311,13.5,48.0,33.5,0,0,1,0,0,0,65,19,1999,9,10,1999,2793776,0,1,0,4
Lucky Break,James Nesbitt,Olivia Williams,Timothy Spall,108,6000000,6.3,707,13.5,68.0,23.5,0,0,1,0,0,0,51,48,2001,4,5,2002,54606,1,0,0,4
Lucky Numbers,John Travolta,Lisa Kudrow,Tim Roth,105,65000000,5.0,2396,13.5,78.0,13.5,0,0,1,0,0,0,18,22,2000,10,27,2000,10014234,0,1,0,4
Luminarias,Evelina Fernandez,Scott Bakula,Marta Du Bois,100,1000000,2.7,381,63.5,18.0,23.5,0,0,1,0,0,1,67,67,1999,5,5,2000,428535,0,1,0,4
Mondays in the Sun (Los Lunes al sol),Javier Bardem,Luis Tosar,Jose Angel Egido,113,4000000,7.8,1466,13.5,28.0,63.5,0,0,0,1,0,0,87,80,2002,7,25,2003,146402,0,1,0,4
Mad City,John Travolta,Dustin Hoffman,Mia Kirshner,115,50000000,6.0,3965,13.5,68.0,23.5,0,0,0,1,0,0,43,37,1997,11,7,1997,10561038,1,0,0,4
The Magic Roundabout (Doogal),Bill Nighy,Ian McKellen,Jim Broadbent,85,20000000,5.7,142,13.5,48.0,33.5,0,1,0,0,0,0,51,60,2005,2,24,2006,7578946,0,1,0,4
Magnolia,Jason Robards,Julianne Moore,Tom Cruise,188,37000000,8.0,45992,13.5,28.0,73.5,0,0,0,1,0,0,90,84,1999,12,17,1999,22450975,0,1,0,4
Maid in Manhattan,Jennifer Lopez,Frances Conroy,Christopher Eigeman,105,55000000,4.6,12237,23.5,58.0,13.5,0,0,1,0,0,1,44,39,2002,12,13,2002,93932896,1,0,0,4
The Majestic,Jim Carrey,Bob Balaban,Martin Landau,156,72000000,6.7,8649,13.5,48.0,33.5,0,0,0,1,0,1,61,42,2001,12,21,2001,27796042,1,0,0,4
Major League,Tom Berenger,Charlie Sheen,Corbin Bernsen,107,11000000,6.7,8078,13.5,48.0,33.5,0,0,1,0,0,0,84,81,1989,4,7,1989,49793054,0,1,0,4
Malcolm X,Denzel Washington,Spike Lee,Angela Bassett,202,34500000,7.5,6873,13.5,28.0,63.5,0,0,0,1,0,0,92,91,1992,11,18,1992,48169910,1,0,0,2
Malibu's Most Wanted,Jamie Kennedy,Taye Diggs,Anthony Anderson,86,15500000,4.9,2099,23.5,58.0,13.5,0,0,1,0,0,0,54,30,2003,4,18,2003,34308901,1,0,0,4
Mallrats,Shannen Doherty,Jeremy London,Jason Lee,94,6100000,7.1,22837,13.5,28.0,63.5,0,0,1,1,0,0,83,54,1995,10,20,1995,2108367,0,1,0,4
The Man in the Iron Mask,Leonardo DiCaprio,Jeremy Irons,John Malkovich,132,35000000,6.0,11127,13.5,58.0,23.5,1,0,0,1,0,0,56,33,1998,3,13,1998,56968169,1,0,0,4
Man of the House,Tommy Lee Jones,Cedric the Entertainer,Christina Milian,97,45000000,5.2,511,23.5,48.0,33.5,1,0,1,0,0,0,47,8,2005,2,25,2005,19699706,1,0,0,4
Man on Fire,Denzel Washington,Dakota Fanning,Christopher Walken,146,65000000,7.4,14358,13.5,38.0,53.5,1,0,0,1,0,0,90,39,2004,4,23,2004,77906816,0,1,0,4
Man on the Moon,Jim Carrey,Danny DeVito,Courtney Love,118,52000000,7.3,19826,13.5,48.0,53.5,0,0,1,1,0,0,79,63,1999,12,22,1999,34580635,0,1,0,2
Marci X,Lisa Kudrow,Damon Wayans,Richard Benjamin,80,20000000,2.8,741,63.5,18.0,13.5,0,0,1,0,0,0,29,9,2003,8,22,2003,1646664,0,1,0,4
Mars Attacks!,Jack Nicholson,Glenn Close,Annette Bening,106,75000000,6.1,27363,13.5,58.0,23.5,1,0,1,0,0,0,53,52,1996,12,13,1996,37771017,1,0,0,4
Martin Lawrence Live - Runteldat,[],[],[],113,3000000,4.6,504,33.5,48.0,13.5,0,0,1,0,1,0,70,39,2002,8,2,2002,19184820,0,1,0,4
Marvin's Room,Meryl Streep,Leonardo DiCaprio,Diane Keaton,98,23000000,6.5,4005,13.5,58.0,33.5,0,0,1,1,0,0,63,80,1996,12,20,1996,12803305,1,0,0,4
Mary Reilly,Julia Roberts,John Malkovich,Glenn Close,108,47000000,5.5,2806,13.5,48.0,23.5,0,0,0,1,0,0,41,26,1996,2,23,1996,5707094,0,1,0,4
The Mask of Zorro,Antonio Banderas,Anthony Hopkins,Catherine Zeta-Jones,136,65000000,6.8,18220,13.5,48.0,33.5,1,0,1,0,0,1,73,83,1998,7,17,1998,93828745,1,0,0,4
Master and Commander: The Far Side of the World,Russell Crowe,Paul Bettany,Billy Boyd,138,142500000,7.5,21328,13.5,48.0,53.5,1,0,0,1,0,0,80,85,2003,11,14,2003,93926386,1,0,0,4
The Master of Disguise,Dana Carvey,Jennifer Esposito,Harold Gould,80,16000000,2.9,3903,53.5,18.0,13.5,0,0,1,0,0,0,33,1,2002,8,2,2002,40363530,1,0,0,4
The Matrix Reloaded,Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne,138,127000000,7.1,57225,13.5,38.0,43.5,1,0,0,0,0,0,72,73,2003,5,15,2003,281553689,0,1,0,3
The Matrix Revolutions,Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne,125,110000000,6.3,40058,13.5,38.0,33.5,1,0,0,0,0,0,61,36,2003,11,5,2003,139259759,0,1,0,2
The Matrix,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,136,64000000,8.5,143853,13.5,18.0,73.5,1,0,0,0,0,0,85,87,1999,3,31,1999,171479930,0,1,0,2
Max Keeble's Big Move,Alex D. Linz,Larry Miller,Jamie Kennedy,86,12000000,5.3,587,13.5,58.0,23.5,0,0,1,0,0,0,38,29,2001,10,5,2001,17292381,1,0,0,4
May,Angela Bettis,Jeremy Sisto,Anna Faris,93,1725000,6.8,3324,13.5,38.0,53.5,0,0,0,1,0,0,76,69,2002,2,7,2003,145540,0,1,0,4
McHale's Navy,Tom Arnold,Tim Curry,Dean Stockwell,108,42000000,3.7,1758,43.5,38.0,13.5,0,0,1,0,0,0,37,3,1997,4,18,1997,4408420,1,0,0,4
"Me, Myself & Irene",Jim Carrey,Renee Zellweger,Chris Cooper,116,51000000,6.0,21305,13.5,68.0,23.5,0,0,1,0,0,0,57,48,2000,6,23,2000,90570999,0,1,1,4
Mean Girls,Lindsay Lohan,Rachel McAdams,Tina Fey,97,17500000,7.0,11591,13.5,48.0,43.5,0,0,1,1,0,0,65,83,2004,4,30,2004,86047227,1,0,0,4
